trip_id,station_id,arrival_time,platform,direction,final_stop,line
Red_Forward_0,R1,04:00:00,1,Forward,LB Nagar,Red
Red_Forward_0,R2,04:02:00,1,Forward,LB Nagar,Red
Red_Forward_0,R3,04:04:00,1,Forward,LB Nagar,Red
Red_Forward_0,R4,04:06:00,1,Forward,LB Nagar,Red
Red_Forward_0,R5,04:08:00,1,Forward,LB Nagar,Red
Red_Forward_0,R6,04:10:00,1,Forward,LB Nagar,Red
Red_Forward_0,R7,04:12:00,1,Forward,LB Nagar,Red
Red_Forward_0,R8,04:14:00,1,Forward,LB Nagar,Red
Red_Forward_0,R9,04:16:00,1,Forward,LB Nagar,Red
Red_Forward_0,R10,04:18:00,1,Forward,LB Nagar,Red
Red_Forward_0,R11,04:20:00,1,Forward,LB Nagar,Red
Red_Forward_0,R12,04:22:00,1,Forward,LB Nagar,Red
Red_Forward_0,R13,04:24:00,1,Forward,LB Nagar,Red
Red_Forward_0,R14,04:26:00,1,Forward,LB Nagar,Red
Red_Forward_0,R15,04:28:00,1,Forward,LB Nagar,Red
Red_Forward_0,R16,04:30:00,1,Forward,LB Nagar,Red
Red_Forward_0,R17,04:32:00,1,Forward,LB Nagar,Red
Red_Forward_0,R18,04:34:00,1,Forward,LB Nagar,Red
Red_Forward_0,R19,04:36:00,1,Forward,LB Nagar,Red
Red_Forward_0,R20,04:38:00,1,Forward,LB Nagar,Red
Red_Forward_0,R21,04:40:00,1,Forward,LB Nagar,Red
Red_Forward_0,R22,04:42:00,1,Forward,LB Nagar,Red
Red_Forward_0,R23,04:44:00,1,Forward,LB Nagar,Red
Red_Forward_0,R24,04:46:00,1,Forward,LB Nagar,Red
Red_Forward_0,R25,04:48:00,1,Forward,LB Nagar,Red
Red_Forward_0,R26,04:50:00,1,Forward,LB Nagar,Red
Red_Forward_0,R27,04:52:00,1,Forward,LB Nagar,Red
Red_Forward_1,R1,04:12:00,1,Forward,LB Nagar,Red
Red_Forward_1,R2,04:14:00,1,Forward,LB Nagar,Red
Red_Forward_1,R3,04:16:00,1,Forward,LB Nagar,Red
Red_Forward_1,R4,04:18:00,1,Forward,LB Nagar,Red
Red_Forward_1,R5,04:20:00,1,Forward,LB Nagar,Red
Red_Forward_1,R6,04:22:00,1,Forward,LB Nagar,Red
Red_Forward_1,R7,04:24:00,1,Forward,LB Nagar,Red
Red_Forward_1,R8,04:26:00,1,Forward,LB Nagar,Red
Red_Forward_1,R9,04:28:00,1,Forward,LB Nagar,Red
Red_Forward_1,R10,04:30:00,1,Forward,LB Nagar,Red
Red_Forward_1,R11,04:32:00,1,Forward,LB Nagar,Red
Red_Forward_1,R12,04:34:00,1,Forward,LB Nagar,Red
Red_Forward_1,R13,04:36:00,1,Forward,LB Nagar,Red
Red_Forward_1,R14,04:38:00,1,Forward,LB Nagar,Red
Red_Forward_1,R15,04:40:00,1,Forward,LB Nagar,Red
Red_Forward_1,R16,04:42:00,1,Forward,LB Nagar,Red
Red_Forward_1,R17,04:44:00,1,Forward,LB Nagar,Red
Red_Forward_1,R18,04:46:00,1,Forward,LB Nagar,Red
Red_Forward_1,R19,04:48:00,1,Forward,LB Nagar,Red
Red_Forward_1,R20,04:50:00,1,Forward,LB Nagar,Red
Red_Forward_1,R21,04:52:00,1,Forward,LB Nagar,Red
Red_Forward_1,R22,04:54:00,1,Forward,LB Nagar,Red
Red_Forward_1,R23,04:56:00,1,Forward,LB Nagar,Red
Red_Forward_1,R24,04:58:00,1,Forward,LB Nagar,Red
Red_Forward_1,R25,05:00:00,1,Forward,LB Nagar,Red
Red_Forward_1,R26,05:02:00,1,Forward,LB Nagar,Red
Red_Forward_1,R27,05:04:00,1,Forward,LB Nagar,Red
Red_Forward_2,R1,04:24:00,1,Forward,LB Nagar,Red
Red_Forward_2,R2,04:26:00,1,Forward,LB Nagar,Red
Red_Forward_2,R3,04:28:00,1,Forward,LB Nagar,Red
Red_Forward_2,R4,04:30:00,1,Forward,LB Nagar,Red
Red_Forward_2,R5,04:32:00,1,Forward,LB Nagar,Red
Red_Forward_2,R6,04:34:00,1,Forward,LB Nagar,Red
Red_Forward_2,R7,04:36:00,1,Forward,LB Nagar,Red
Red_Forward_2,R8,04:38:00,1,Forward,LB Nagar,Red
Red_Forward_2,R9,04:40:00,1,Forward,LB Nagar,Red
Red_Forward_2,R10,04:42:00,1,Forward,LB Nagar,Red
Red_Forward_2,R11,04:44:00,1,Forward,LB Nagar,Red
Red_Forward_2,R12,04:46:00,1,Forward,LB Nagar,Red
Red_Forward_2,R13,04:48:00,1,Forward,LB Nagar,Red
Red_Forward_2,R14,04:50:00,1,Forward,LB Nagar,Red
Red_Forward_2,R15,04:52:00,1,Forward,LB Nagar,Red
Red_Forward_2,R16,04:54:00,1,Forward,LB Nagar,Red
Red_Forward_2,R17,04:56:00,1,Forward,LB Nagar,Red
Red_Forward_2,R18,04:58:00,1,Forward,LB Nagar,Red
Red_Forward_2,R19,05:00:00,1,Forward,LB Nagar,Red
Red_Forward_2,R20,05:02:00,1,Forward,LB Nagar,Red
Red_Forward_2,R21,05:04:00,1,Forward,LB Nagar,Red
Red_Forward_2,R22,05:06:00,1,Forward,LB Nagar,Red
Red_Forward_2,R23,05:08:00,1,Forward,LB Nagar,Red
Red_Forward_2,R24,05:10:00,1,Forward,LB Nagar,Red
Red_Forward_2,R25,05:12:00,1,Forward,LB Nagar,Red
Red_Forward_2,R26,05:14:00,1,Forward,LB Nagar,Red
Red_Forward_2,R27,05:16:00,1,Forward,LB Nagar,Red
Red_Forward_3,R1,04:36:00,1,Forward,LB Nagar,Red
Red_Forward_3,R2,04:38:00,1,Forward,LB Nagar,Red
Red_Forward_3,R3,04:40:00,1,Forward,LB Nagar,Red
Red_Forward_3,R4,04:42:00,1,Forward,LB Nagar,Red
Red_Forward_3,R5,04:44:00,1,Forward,LB Nagar,Red
Red_Forward_3,R6,04:46:00,1,Forward,LB Nagar,Red
Red_Forward_3,R7,04:48:00,1,Forward,LB Nagar,Red
Red_Forward_3,R8,04:50:00,1,Forward,LB Nagar,Red
Red_Forward_3,R9,04:52:00,1,Forward,LB Nagar,Red
Red_Forward_3,R10,04:54:00,1,Forward,LB Nagar,Red
Red_Forward_3,R11,04:56:00,1,Forward,LB Nagar,Red
Red_Forward_3,R12,04:58:00,1,Forward,LB Nagar,Red
Red_Forward_3,R13,05:00:00,1,Forward,LB Nagar,Red
Red_Forward_3,R14,05:02:00,1,Forward,LB Nagar,Red
Red_Forward_3,R15,05:04:00,1,Forward,LB Nagar,Red
Red_Forward_3,R16,05:06:00,1,Forward,LB Nagar,Red
Red_Forward_3,R17,05:08:00,1,Forward,LB Nagar,Red
Red_Forward_3,R18,05:10:00,1,Forward,LB Nagar,Red
Red_Forward_3,R19,05:12:00,1,Forward,LB Nagar,Red
Red_Forward_3,R20,05:14:00,1,Forward,LB Nagar,Red
Red_Forward_3,R21,05:16:00,1,Forward,LB Nagar,Red
Red_Forward_3,R22,05:18:00,1,Forward,LB Nagar,Red
Red_Forward_3,R23,05:20:00,1,Forward,LB Nagar,Red
Red_Forward_3,R24,05:22:00,1,Forward,LB Nagar,Red
Red_Forward_3,R25,05:24:00,1,Forward,LB Nagar,Red
Red_Forward_3,R26,05:26:00,1,Forward,LB Nagar,Red
Red_Forward_3,R27,05:28:00,1,Forward,LB Nagar,Red
Red_Forward_4,R1,04:48:00,1,Forward,LB Nagar,Red
Red_Forward_4,R2,04:50:00,1,Forward,LB Nagar,Red
Red_Forward_4,R3,04:52:00,1,Forward,LB Nagar,Red
Red_Forward_4,R4,04:54:00,1,Forward,LB Nagar,Red
Red_Forward_4,R5,04:56:00,1,Forward,LB Nagar,Red
Red_Forward_4,R6,04:58:00,1,Forward,LB Nagar,Red
Red_Forward_4,R7,05:00:00,1,Forward,LB Nagar,Red
Red_Forward_4,R8,05:02:00,1,Forward,LB Nagar,Red
Red_Forward_4,R9,05:04:00,1,Forward,LB Nagar,Red
Red_Forward_4,R10,05:06:00,1,Forward,LB Nagar,Red
Red_Forward_4,R11,05:08:00,1,Forward,LB Nagar,Red
Red_Forward_4,R12,05:10:00,1,Forward,LB Nagar,Red
Red_Forward_4,R13,05:12:00,1,Forward,LB Nagar,Red
Red_Forward_4,R14,05:14:00,1,Forward,LB Nagar,Red
Red_Forward_4,R15,05:16:00,1,Forward,LB Nagar,Red
Red_Forward_4,R16,05:18:00,1,Forward,LB Nagar,Red
Red_Forward_4,R17,05:20:00,1,Forward,LB Nagar,Red
Red_Forward_4,R18,05:22:00,1,Forward,LB Nagar,Red
Red_Forward_4,R19,05:24:00,1,Forward,LB Nagar,Red
Red_Forward_4,R20,05:26:00,1,Forward,LB Nagar,Red
Red_Forward_4,R21,05:28:00,1,Forward,LB Nagar,Red
Red_Forward_4,R22,05:30:00,1,Forward,LB Nagar,Red
Red_Forward_4,R23,05:32:00,1,Forward,LB Nagar,Red
Red_Forward_4,R24,05:34:00,1,Forward,LB Nagar,Red
Red_Forward_4,R25,05:36:00,1,Forward,LB Nagar,Red
Red_Forward_4,R26,05:38:00,1,Forward,LB Nagar,Red
Red_Forward_4,R27,05:40:00,1,Forward,LB Nagar,Red
Red_Forward_5,R1,05:00:00,1,Forward,LB Nagar,Red
Red_Forward_5,R2,05:02:00,1,Forward,LB Nagar,Red
Red_Forward_5,R3,05:04:00,1,Forward,LB Nagar,Red
Red_Forward_5,R4,05:06:00,1,Forward,LB Nagar,Red
Red_Forward_5,R5,05:08:00,1,Forward,LB Nagar,Red
Red_Forward_5,R6,05:10:00,1,Forward,LB Nagar,Red
Red_Forward_5,R7,05:12:00,1,Forward,LB Nagar,Red
Red_Forward_5,R8,05:14:00,1,Forward,LB Nagar,Red
Red_Forward_5,R9,05:16:00,1,Forward,LB Nagar,Red
Red_Forward_5,R10,05:18:00,1,Forward,LB Nagar,Red
Red_Forward_5,R11,05:20:00,1,Forward,LB Nagar,Red
Red_Forward_5,R12,05:22:00,1,Forward,LB Nagar,Red
Red_Forward_5,R13,05:24:00,1,Forward,LB Nagar,Red
Red_Forward_5,R14,05:26:00,1,Forward,LB Nagar,Red
Red_Forward_5,R15,05:28:00,1,Forward,LB Nagar,Red
Red_Forward_5,R16,05:30:00,1,Forward,LB Nagar,Red
Red_Forward_5,R17,05:32:00,1,Forward,LB Nagar,Red
Red_Forward_5,R18,05:34:00,1,Forward,LB Nagar,Red
Red_Forward_5,R19,05:36:00,1,Forward,LB Nagar,Red
Red_Forward_5,R20,05:38:00,1,Forward,LB Nagar,Red
Red_Forward_5,R21,05:40:00,1,Forward,LB Nagar,Red
Red_Forward_5,R22,05:42:00,1,Forward,LB Nagar,Red
Red_Forward_5,R23,05:44:00,1,Forward,LB Nagar,Red
Red_Forward_5,R24,05:46:00,1,Forward,LB Nagar,Red
Red_Forward_5,R25,05:48:00,1,Forward,LB Nagar,Red
Red_Forward_5,R26,05:50:00,1,Forward,LB Nagar,Red
Red_Forward_5,R27,05:52:00,1,Forward,LB Nagar,Red
Red_Forward_6,R1,05:12:00,1,Forward,LB Nagar,Red
Red_Forward_6,R2,05:14:00,1,Forward,LB Nagar,Red
Red_Forward_6,R3,05:16:00,1,Forward,LB Nagar,Red
Red_Forward_6,R4,05:18:00,1,Forward,LB Nagar,Red
Red_Forward_6,R5,05:20:00,1,Forward,LB Nagar,Red
Red_Forward_6,R6,05:22:00,1,Forward,LB Nagar,Red
Red_Forward_6,R7,05:24:00,1,Forward,LB Nagar,Red
Red_Forward_6,R8,05:26:00,1,Forward,LB Nagar,Red
Red_Forward_6,R9,05:28:00,1,Forward,LB Nagar,Red
Red_Forward_6,R10,05:30:00,1,Forward,LB Nagar,Red
Red_Forward_6,R11,05:32:00,1,Forward,LB Nagar,Red
